filename,age,spectral_centroid,spectral_bandwidth,spectral_rolloff,mfcc_1,mfcc_2,mfcc_3,mfcc_4,mfcc_5,mfcc_6,mfcc_7,mfcc_8,mfcc_9,mfcc_10,mfcc_11,mfcc_12,mfcc_13,mfcc_14,mfcc_15,mfcc_16,mfcc_17,mfcc_18,mfcc_19,mfcc_20,chroma_1,chroma_2,chroma_3,chroma_4,chroma_5,chroma_6,chroma_7,chroma_8,chroma_9,chroma_10,chroma_11,chroma_12,contrast_1,contrast_2,contrast_3,contrast_4,contrast_5,contrast_6,contrast_7,tonnetz_1,tonnetz_2,tonnetz_3,tonnetz_4,tonnetz_5,tonnetz_6,rmse
sample-000005,twenties,2679.9393008845423,3347.66922960854,5745.486745886655,-625.21814,111.32094,6.326995,34.757614,31.619902,-4.714648,-0.486033,-4.9340267,-12.714735,-2.0551496,-3.741118,-10.702963,-11.202636,-12.003523,-8.489579,-5.463276,-4.9542174,-3.7152002,-6.330531,-6.338476,0.25863415,0.25149518,0.31520912,0.40168014,0.46188092,0.51680994,0.61125076,0.5728431,0.5339277,0.43498987,0.3758033,0.30359605,17.27854396076428,13.173732274561475,17.11250094458039,16.109039677225073,18.703327183117203,18.172916682187957,22.36842761880307,-0.03840903669532541,0.01774145995817991,0.04322225544678279,0.021256072423718263,-0.00513249958379442,-0.010573728759521872,0.0065490333
sample-000013,thirties,1976.2641512742102,1830.6342032759067,3344.655226700252,-418.20505,147.66832,-49.972744,-2.2855308,37.18701,-8.904264,-14.226655,-12.29296,-18.742601,-3.454663,-3.5059185,-13.845864,-9.927492,-7.8716216,-5.473862,-2.2956564,-6.5549927,-5.206915,-0.40743113,-3.8823717,0.35420358,0.4239566,0.3388238,0.31487396,0.32277656,0.37719738,0.38462538,0.42237434,0.41625804,0.34638205,0.26782224,0.2891538,17.09454176523623,14.636969514213582,18.062331273648738,17.996360509425518,21.287131746703757,25.477173908325387,25.55730777104012,-0.03494529846511631,0.00857679571106837,0.019569247652557766,0.05501608267867491,-0.00347517007000499,-0.013736164566218564,0.035668038
sample-000014,sixties,2333.763595927372,2533.2829959697974,4398.824257425743,-464.91122,118.436134,19.749296,27.143938,26.439018,2.309575,-9.354494,-10.456732,-6.9630814,-6.03338,-7.2277036,-5.4584937,-2.9076495,-4.49594,-2.7157314,-0.07910555,-5.2929797,-5.866175,0.6014116,-3.376775,0.44594324,0.49565563,0.53959906,0.57123435,0.5420764,0.46786687,0.42964032,0.40324125,0.39639032,0.41222736,0.42490527,0.429865,16.919560048739807,12.811529848547801,15.935718101720337,16.71888829847489,18.329402522859947,23.005980032640075,27.30010060750931,0.02627614771631709,-0.017890597514169163,0.014769327959580341,0.002740678747211929,0.0011507171098253273,0.004655253956795206,0.031007404
sample-000019,fifties,2351.9205925553697,2974.7524068625453,4743.105300859599,-343.8322,157.1522,7.661032,41.89976,-15.152517,28.92517,0.091896474,10.246476,6.5075865,6.9433503,0.8151866,0.10155839,6.3199167,-1.60313,3.8370967,-2.6439867,2.324086,-1.3830318,3.7903793,-3.5349152,0.553479,0.5744103,0.59644765,0.6488202,0.6748461,0.6700152,0.6883167,0.6678553,0.66260284,0.64580756,0.5890904,0.5495553,12.2253097390883,10.160347747962058,11.509068052876644,14.107694536324502,17.20313342573341,17.27363462766264,36.61567914250666,-0.0055399610774357014,-0.02152680139078332,0.0208422084549773,0.026828640564891513,0.02631616565914131,0.007896127331372176,0.043531083
sample-000029,thirties,1829.2632827422763,2235.137122112657,3301.476226993865,-334.22873,158.93997,6.2631087,32.291855,4.577094,5.364186,-7.870172,-12.2364,-12.331898,-8.440068,-11.277093,-14.877735,-14.612243,-10.148665,1.0531405,-10.177589,-7.474077,0.2969527,-3.794547,-11.241608,0.46620026,0.42827734,0.38947693,0.3967204,0.39478126,0.31017312,0.25302535,0.3003191,0.39182207,0.43267417,0.4802901,0.4769625,20.323882274920308,13.163563692949882,17.212749746760217,15.862766427090902,18.23030000997691,18.410406281301263,35.68261156163312,0.04186188903305705,-0.023752388828888756,-0.025092260973006545,0.05173251551817819,-4.514298716750925e-05,0.010779126467048013,0.074798696
sample-000034,fourties,3404.597283475067,3423.1986488749562,6789.991258741259,-509.81284,77.940544,-15.721888,8.282538,16.527351,0.09529679,-8.171475,-2.128943,-0.65569234,-2.5168285,-0.6003715,-4.499488,-6.4607444,-6.8952336,-5.2901382,-4.450075,-3.4692445,-3.160524,-6.6280446,-4.6241956,0.5501162,0.52114266,0.46393228,0.42326033,0.4309063,0.42958647,0.4066054,0.42949855,0.4693916,0.49140942,0.515473,0.529583,12.196306070494643,13.424615960045006,14.847627224406287,15.839115332027857,18.025845049518207,21.58714325791147,25.712837978755054,-0.0267005417264868,-0.019162026686784628,0.03627371533457949,-0.013629439976424915,-0.0063659239379431735,0.007232772887638023,0.019692233
sample-000036,twenties,2755.5869317908528,2733.741006744643,5325.3131734913795,-322.5128,144.87448,-6.870723,23.07672,7.277022,12.996764,-20.437597,-9.387889,-11.782118,-15.148568,-3.4708931,-4.5840592,-9.262888,-12.230653,3.4764457,0.9714203,-6.431714,-5.052288,-0.5289735,-5.2431345,0.44235438,0.41924796,0.47067198,0.54723454,0.5808846,0.41547084,0.2755279,0.27903655,0.4052377,0.50843805,0.4628424,0.44105846,13.548835970907511,11.107707062652159,14.003034630957641,17.183691428806895,20.606579561880242,25.429200846454613,36.64419425902144,-0.02256755865663439,-0.07437716622588493,0.03847422424487021,0.08144129488560971,0.012279510459000012,0.003311336186015998,0.0764869
sample-000039,teens,4051.978831857611,3330.055700592074,7078.000553097345,-636.4543,97.502426,8.910443,27.010042,1.2395597,-11.069521,-13.313291,-0.9929468,-13.504399,-12.339678,6.989279,-1.2296771,-7.585811,-4.638042,-2.0341742,-6.963295,-6.200741,-7.0012183,-7.0727663,-5.047815,0.35192555,0.36748016,0.35003304,0.3210338,0.3277961,0.4349143,0.56496716,0.58953524,0.56310475,0.49379408,0.44447115,0.3856837,14.769963977765311,12.454443186379736,14.532798964230544,17.984259711649276,20.742588605155543,21.78338008124221,22.865200368647187,-0.006630370100697042,0.0001457202288567138,0.05492890218511782,-0.034173403474898174,0.00592217552739714,-0.006714093894079508,0.0065916213
sample-000047,sixties,1876.1174315775143,1634.5959122112608,3407.5569783834585,-417.42728,96.03176,-8.864229,9.043672,15.545032,1.5701468,3.2372193,-7.6800747,-6.458761,-0.59180987,-12.456981,-8.449608,-1.2647921,-9.517925,-6.539426,-1.1000754,-2.5844946,0.93292373,0.7181197,-2.8124151,0.27272308,0.29115406,0.29832396,0.3002416,0.30767223,0.34238932,0.36813647,0.3635073,0.36335635,0.36509222,0.31849307,0.28470373,13.479403005052548,9.53897490099977,14.085311627350668,14.328040215208906,15.555752565967873,16.59412790129862,25.63282773312434,0.04064506260115778,0.016513830605962176,0.021378895469163533,-0.04825255868315751,-0.007582485718775886,-0.011541089934955085,0.062812075
sample-000049,fourties,2906.014751740662,2972.877312573268,5527.698863636364,-454.96497,114.84756,6.3320546,25.389893,-1.419754,6.702782,-4.305149,-7.456246,-5.4641905,-3.697827,3.2264292,-12.268113,-4.595228,-1.2144848,-1.7938844,-1.7774248,-7.208663,-1.5965651,-2.9250433,-6.337632,0.35538006,0.37939137,0.5590352,0.35990056,0.37017682,0.41533962,0.42922103,0.33504787,0.36095577,0.36579219,0.32695773,0.34179783,15.520991233303748,12.505677770766521,14.569775982479749,17.942705617260444,18.22693400167644,19.12202539868985,31.835090883962934,0.003676077049504023,0.03593850503940055,-0.0028202046111704053,0.0003670911553512356,-0.021029003171778818,-0.0298482042084032,0.033047795
