filename,age,spectral_centroid,spectral_bandwidth,spectral_rolloff,mfcc_1,mfcc_2,mfcc_3,mfcc_4,mfcc_5,mfcc_6,mfcc_7,mfcc_8,mfcc_9,mfcc_10,mfcc_11,mfcc_12,mfcc_13,mfcc_14,mfcc_15,mfcc_16,mfcc_17,mfcc_18,mfcc_19,mfcc_20,chroma_1,chroma_2,chroma_3,chroma_4,chroma_5,chroma_6,chroma_7,chroma_8,chroma_9,chroma_10,chroma_11,chroma_12,contrast_1,contrast_2,contrast_3,contrast_4,contrast_5,contrast_6,contrast_7,tonnetz_1,tonnetz_2,tonnetz_3,tonnetz_4,tonnetz_5,tonnetz_6,rmse
sample-000005,twenties,2147.60588,2430.474971,4428.830553,-625.28143,111.306145,6.369085,34.7671,31.623457,-4.721564,-0.511934,-4.9454904,-12.712851,-2.0436711,-3.7277248,-10.708405,-11.206563,-12.003516,-8.506438,-5.472296,-4.950396,-3.7100525,-6.3149858,-6.328086,0.25947264,0.2535889,0.3169436,0.40263188,0.4628201,0.51787674,0.612481,0.57396877,0.53542054,0.43597502,0.37677917,0.30432025,17.20889132,13.17540297,17.09017617,16.04010927,18.88963377,18.43030678,51.40788991,-0.035224567,0.018304815,0.043473358,0.025192987,-0.005780684,-0.011161042,0.006548879
sample-000013,thirties,1844.637736,1491.011524,3164.948048,-418.20547,147.66687,-49.974003,-2.286364,37.18531,-8.906048,-14.228477,-12.295597,-18.744492,-3.454832,-3.504616,-13.844881,-9.928527,-7.873623,-5.4764905,-2.298846,-6.5569873,-5.206551,-0.4038548,-3.8770697,0.3477165,0.4234086,0.34207198,0.3130098,0.32263678,0.37772375,0.38578355,0.42251268,0.41853532,0.35089347,0.26836148,0.2875468,17.10922439,14.62674847,18.06351072,17.9891374,21.31085542,25.66549449,45.48739326,-0.034952242,0.008576709,0.019588078,0.054978942,-0.00347503,-0.013710782,0.03566801
sample-000014,sixties,2123.711333,2202.012929,4111.215965,-464.9107,118.437225,19.749662,27.143229,26.438824,2.3092318,-9.353926,-10.454815,-6.9630613,-6.034733,-7.230496,-5.461425,-2.9084125,-4.4960747,-2.716447,-0.08057287,-5.2949405,-5.8687215,0.60050714,-3.3758323,0.44469342,0.49515542,0.53876185,0.56958735,0.54102534,0.46821874,0.42910108,0.40295124,0.39479238,0.41165468,0.4241499,0.42836475,16.91063319,12.78368493,15.91905856,16.68653061,18.40402683,23.26058484,49.88128804,0.026322102,-0.017903465,0.014787573,0.00275207,0.00114525,0.004667796,0.03100734
sample-000019,fifties,2360.672044,2957.22024,4767.08005,-343.833,157.15388,7.6611505,41.898964,-15.1524725,28.925106,0.09112663,10.246749,6.509379,6.9409328,0.8148435,0.10264767,6.319802,-1.6038706,3.83712,-2.6432977,2.323318,-1.3826844,3.7914984,-3.5343826,0.55537593,0.5778137,0.6003547,0.651192,0.67678744,0.67303646,0.6925727,0.6712744,0.6639869,0.6472172,0.5928909,0.5520579,12.23071688,10.16522912,11.50958023,14.11034161,17.20045249,17.30479308,53.7619833,-0.008401625,-0.015377546,0.033042394,0.013007318,0.025973699,0.012797987,0.043531045
sample-000029,thirties,1829.046865,2203.330437,3298.456672,-334.2308,158.9408,6.264265,32.290043,4.575745,5.365429,-7.86893,-12.237876,-12.332013,-8.439542,-11.277135,-14.879092,-14.612173,-10.147866,1.0519389,-10.177892,-7.474448,0.2972724,-3.79546,-11.242044,0.46859193,0.4311452,0.39250776,0.4005302,0.40061858,0.31493,0.2569985,0.30364934,0.39428914,0.4347444,0.48201784,0.47881353,20.34997386,13.1600019,17.21690732,15.8886474,18.22683587,18.41877582,53.57935722,0.041863279,-0.023751352,-0.025097117,0.051736883,-4.42E-05,0.010778299,0.07479869
sample-000034,fourties,2972.36074,2743.349242,6089.898383,-509.81906,77.93532,-15.722397,8.285415,16.528412,0.09298674,-8.17296,-2.1286793,-0.6522899,-2.51547,-0.601083,-4.502088,-6.464527,-6.8965497,-5.293338,-4.452411,-3.4685798,-3.1597254,-6.625934,-4.622361,0.54952013,0.5213244,0.4635379,0.42286187,0.42982754,0.42881867,0.40524903,0.42812872,0.4688837,0.4913567,0.51482576,0.52804184,12.20763669,13.44352291,14.87466264,15.88166155,18.12436307,21.92966154,52.25105536,-0.027053832,-0.019085314,0.036346572,-0.013799546,-0.006288971,0.007264998,0.019692088
sample-000036,twenties,2718.20644,2675.806828,5259.092134,-322.51248,144.87494,-6.8708425,23.077784,7.2780986,12.995673,-20.438818,-9.387857,-11.781536,-15.148065,-3.4700282,-4.584427,-9.263575,-12.230741,3.4758396,0.9713599,-6.4306254,-5.0520825,-0.5301306,-5.2435102,0.44185618,0.41928312,0.47072747,0.5468999,0.58050495,0.41544235,0.27524957,0.27845678,0.40538815,0.5082584,0.462401,0.4410199,13.56288484,11.11239655,14.01101699,17.1780931,20.5970669,25.55050397,52.65495526,-0.022561989,-0.074376702,0.038468164,0.081443099,0.012278361,0.003312877,0.07648689
sample-000039,teens,3437.145919,2572.823738,5879.162058,-636.5744,97.48164,8.902625,26.954,1.254257,-11.111106,-13.331087,-0.99037987,-13.528038,-12.335504,7.0025725,-1.2195158,-7.5945487,-4.6459384,-2.0226345,-6.952274,-6.1877403,-6.9929595,-7.074612,-5.0383053,0.3544566,0.36764428,0.3450896,0.3174689,0.3265335,0.43390366,0.5657858,0.5895452,0.56598824,0.49697834,0.44626027,0.387927,15.14747428,12.53397886,14.55671614,18.09840435,20.80626778,22.60918216,50.93147109,-0.00924512,0.003075683,0.041748332,-0.050998868,0.007485421,0.000436263,0.006591443
sample-000047,sixties,1683.97379,1375.485456,3035.552749,-417.4271,96.031586,-8.864511,9.043924,15.545348,1.5709103,3.2378378,-7.680361,-6.4594665,-0.5926329,-12.456534,-8.448709,-1.265028,-9.518054,-6.539358,-1.1006545,-2.584686,0.93353105,0.71833783,-2.8128214,0.2796705,0.29550418,0.3038117,0.30516702,0.312935,0.34624583,0.37079212,0.36702445,0.36667296,0.36739028,0.32200015,0.29108644,13.50801551,9.604337034,14.08892089,14.32590482,15.68896584,16.84723682,36.75100515,0.034392464,0.043028865,0.029578003,-0.022077955,-0.002528421,-0.003952329,0.062812015
sample-000049,fourties,2777.826659,2769.977213,5338.778409,-454.9695,114.84698,6.330137,25.386187,-1.4159522,6.702943,-4.306509,-7.456036,-5.4685235,-3.6986337,3.2301264,-12.268319,-4.597052,-1.211196,-1.7922983,-1.7800527,-7.2066154,-1.5938269,-2.928737,-6.340717,0.35456544,0.3838415,0.5586783,0.3576052,0.37251076,0.41867045,0.43033946,0.3357928,0.36174458,0.36612618,0.32821694,0.34354687,15.57990228,12.5118318,14.66378516,17.99859366,18.27319327,19.26621169,55.45050766,0.013788378,0.042837127,0.002001247,-0.004299388,-0.008305503,-0.033890738,0.033047773
